0:1,128,54,64,0
0:1,128,59,64,0
0:1,144,54,103,0
0:1,144,59,1,0
0:1,128,54,64,0
0:1,128,59,64,0
0:1,144,54,103,0
0:1,144,59,1,0
1:1,128,54,64,0
1:1,128,59,64,0
1:1,144,44,1,0
1:1,144,54,103,0
1:1,144,59,1,0
1:1,128,44,64,0
1:1,128,54,64,0
1:1,128,59,64,0
1:1,144,44,1,0
1:1,144,54,103,0
1:1,144,59,1,0
2:1,128,44,64,0
2:1,128,54,64,0
2:1,128,59,64,0
2:1,144,40,1,0
2:1,144,44,1,0
2:1,144,54,103,0
2:1,128,40,64,0
2:1,128,44,64,0
2:1,128,54,64,0
2:1,144,40,1,0
2:1,144,44,1,0
2:1,144,54,103,0
3:1,128,40,64,0
3:1,128,44,64,0
3:1,128,54,64,0
3:1,144,40,1,0
3:1,144,44,1,0
3:1,144,54,103,0
3:1,128,40,64,0
3:1,128,44,64,0
3:1,128,54,64,0
3:1,144,40,1,0
3:1,144,44,1,0
3:1,144,54,103,0
4:1,128,40,64,0
4:1,128,44,64,0
4:1,128,54,64,0
4:1,144,46,127,0
4:1,144,40,1,0
4:1,144,44,1,0
4:1,144,54,103,0
4:1,128,46,64,0
4:1,128,40,64,0
4:1,128,44,64,0
4:1,128,54,64,0
4:1,144,46,127,0
4:1,144,40,1,0
4:1,144,44,1,0
4:1,144,54,103,0
4:1,128,46,64,0
4:1,128,40,64,0
4:1,128,44,64,0
4:1,128,54,64,0
4:1,144,51,127,0
4:1,144,46,127,0
4:1,144,40,1,0
4:1,144,44,1,0
4:1,144,54,103,0
5:1,128,51,64,0
5:1,128,46,64,0
5:1,128,40,64,0
5:1,128,44,64,0
5:1,128,54,64,0
5:1,144,51,127,0
5:1,144,46,127,0
5:1,144,40,1,0
5:1,144,54,103,0
5:1,128,51,64,0
5:1,128,46,64,0
5:1,128,40,64,0
5:1,128,54,64,0
5:1,144,51,127,0
5:1,144,46,127,0
5:1,144,40,1,0
5:1,144,54,103,0
6:1,128,51,64,0
6:1,128,46,64,0
6:1,128,40,64,0
6:1,128,54,64,0
6:1,144,51,127,0
6:1,144,46,127,0
6:1,144,40,1,0
6:1,144,54,103,0
6:1,128,51,64,0
6:1,128,46,64,0
6:1,128,40,64,0
6:1,128,54,64,0
6:1,144,51,127,0
6:1,144,40,1,0
6:1,144,54,103,0
7:1,128,51,64,0
7:1,128,40,64,0
7:1,128,54,64,0
7:1,144,51,127,0
7:1,144,40,1,0
7:1,128,51,64,0
7:1,128,40,64,0
7:1,144,51,127,0
8:1,128,51,64,0
8:1,144,51,127,0
8:1,128,51,64,0
8:1,144,51,127,0
9:1,128,51,64,0
9:1,144,60,104,0
9:1,144,51,127,0
9:1,128,60,64,0
9:1,128,51,64,0
9:1,144,60,104,0
9:1,128,60,64,0
9:1,144,33,1,0
9:1,144,43,127,0
9:1,144,60,104,0
10:1,128,33,64,0
10:1,128,43,64,0
10:1,128,60,64,0
10:1,144,33,1,0
10:1,144,43,127,0
10:1,128,33,64,0
10:1,128,43,64,0
10:1,144,24,61,0
10:1,144,33,1,0
11:1,128,24,64,0
11:1,128,33,64,0
11:1,144,49,127,0
11:1,144,33,1,0
11:1,128,49,64,0
11:1,128,33,64,0
11:1,144,39,127,0
11:1,144,49,127,0
11:1,144,33,1,0
12:1,128,39,64,0
12:1,128,49,64,0
12:1,128,33,64,0
12:1,144,39,127,0
12:1,144,49,127,0
12:1,144,33,1,0
12:1,128,39,64,0
12:1,128,49,64,0
12:1,128,33,64,0
12:1,144,39,127,0
12:1,144,49,127,0
13:1,128,39,64,0
13:1,128,49,64,0
13:1,144,39,127,0
13:1,128,39,64,0
13:1,144,39,127,0
13:1,128,39,64,0
13:1,144,61,127,0
13:1,144,39,127,0
14:1,128,61,64,0
14:1,128,39,64,0
14:1,144,53,1,0
14:1,144,61,127,0
14:1,128,53,64,0
14:1,128,61,64,0
14:1,144,53,1,0
14:1,144,61,124,0
15:1,128,53,64,0
15:1,128,61,64,0
15:1,144,53,1,0
15:1,144,61,124,0
15:1,128,53,64,0
15:1,128,61,64,0
15:1,144,53,1,0
15:1,144,61,124,0
16:1,128,53,64,0
16:1,128,61,64,0
17:1,144,39,1,0
18:1,128,39,64,0
18:1,144,39,1,0
18:1,128,39,64,0
18:1,144,39,1,0
18:1,128,39,64,0
19:1,144,41,1,0
19:1,128,41,64,0
19:1,144,41,1,0
20:1,128,41,64,0
20:1,144,41,1,0
20:1,128,41,64,0
20:1,144,57,1,0
21:1,128,57,64,0
21:1,144,57,1,0
21:1,128,57,64,0
21:1,144,57,1,0
22:1,128,57,64,0
22:1,144,35,94,0
22:1,144,57,1,0
22:1,128,35,64,0
22:1,128,57,64,0
22:1,144,35,94,0
22:1,144,57,1,0
22:1,128,35,64,0
22:1,128,57,64,0
22:1,144,57,1,0
23:1,128,57,64,0
23:1,144,57,1,0
23:1,128,57,64,0
23:1,144,57,1,0
24:1,128,57,64,0
24:1,144,37,103,0
24:1,144,57,1,0
24:1,128,37,64,0
24:1,128,57,64,0
24:1,144,37,103,0
24:1,144,57,1,0
25:1,128,37,64,0
25:1,128,57,64,0
25:1,144,59,1,0
25:1,144,37,103,0
25:1,144,57,1,0
25:1,128,59,64,0
25:1,128,37,64,0
25:1,128,57,64,0
25:1,144,59,1,0
25:1,144,37,103,0
25:1,144,57,1,0
26:1,128,59,64,0
26:1,128,37,64,0
26:1,128,57,64,0
26:1,144,54,103,0
26:1,144,59,1,0
26:1,144,37,103,0
26:1,144,57,1,0
26:1,128,54,64,0
26:1,128,59,64,0
26:1,128,37,64,0
26:1,128,57,64,0
26:1,144,54,103,0
26:1,144,59,1,0
26:1,144,37,103,0
27:1,128,54,64,0
27:1,128,59,64,0
27:1,128,37,64,0
27:1,144,54,103,0
27:1,144,59,1,0
27:1,128,54,64,0
27:1,128,59,64,0
27:1,144,54,103,0
27:1,144,59,1,0
27:1,128,54,64,0
27:1,128,59,64,0
27:1,144,54,103,0
27:1,144,59,1,0
28:1,128,54,64,0
28:1,128,59,64,0
28:1,144,54,103,0
28:1,144,59,1,0
28:1,128,54,64,0
28:1,128,59,64,0
28:1,144,54,103,0
28:1,144,59,1,0
29:1,128,54,64,0
29:1,128,59,64,0
29:1,144,54,103,0
29:1,144,59,1,0
29:1,128,54,64,0
29:1,128,59,64,0
29:1,144,54,103,0
29:1,144,59,1,0
30:1,128,54,64,0
30:1,128,59,64,0
30:1,144,44,1,0
30:1,144,54,103,0
30:1,144,59,1,0
30:1,128,44,64,0
30:1,128,54,64,0
30:1,128,59,64,0
30:1,144,44,1,0
30:1,144,54,103,0
30:1,144,59,1,0
31:1,128,44,64,0
31:1,128,54,64,0
31:1,128,59,64,0
31:1,144,40,1,0
31:1,144,44,1,0
31:1,144,54,103,0
31:1,128,40,64,0
31:1,128,44,64,0
31:1,128,54,64,0
31:1,144,40,1,0
31:1,144,44,1,0
31:1,144,54,103,0
32:1,128,40,64,0
32:1,128,44,64,0
32:1,128,54,64,0
32:1,144,40,1,0
32:1,144,44,1,0
32:1,144,54,103,0
32:1,128,40,64,0
32:1,128,44,64,0
32:1,128,54,64,0
32:1,144,40,1,0
32:1,144,44,1,0
32:1,144,54,103,0
32:1,128,40,64,0
32:1,128,44,64,0
32:1,128,54,64,0
32:1,144,46,127,0
32:1,144,40,1,0
32:1,144,44,1,0
32:1,144,54,103,0
33:1,128,46,64,0
33:1,128,40,64,0
33:1,128,44,64,0
33:1,128,54,64,0
33:1,144,46,127,0
33:1,144,40,1,0
33:1,144,44,1,0
33:1,144,54,103,0
33:1,128,46,64,0
33:1,128,40,64,0
33:1,128,44,64,0
33:1,128,54,64,0
33:1,144,51,127,0
33:1,144,46,127,0
33:1,144,40,1,0
33:1,144,44,1,0
33:1,144,54,103,0
34:1,128,51,64,0
34:1,128,46,64,0
34:1,128,40,64,0
34:1,128,44,64,0
34:1,128,54,64,0
34:1,144,51,127,0
34:1,144,46,127,0
34:1,144,40,1,0
34:1,144,54,103,0
34:1,128,51,64,0
34:1,128,46,64,0
34:1,128,40,64,0
34:1,128,54,64,0
34:1,144,51,127,0
34:1,144,46,127,0
34:1,144,40,1,0
34:1,144,54,103,0
35:1,128,51,64,0
35:1,128,46,64,0
35:1,128,40,64,0
35:1,128,54,64,0
35:1,144,51,127,0
35:1,144,46,127,0
35:1,144,40,1,0
35:1,144,54,103,0
35:1,128,51,64,0
35:1,128,46,64,0
35:1,128,40,64,0
35:1,128,54,64,0
35:1,144,51,127,0
35:1,144,40,1,0
35:1,144,54,103,0
36:1,128,51,64,0
36:1,128,40,64,0
36:1,128,54,64,0
36:1,144,51,127,0
36:1,144,40,1,0
36:1,128,51,64,0
36:1,128,40,64,0
36:1,144,51,127,0
36:1,128,51,64,0
36:1,144,51,127,0
37:1,128,51,64,0
37:1,144,51,127,0
37:1,128,51,64,0
37:1,144,60,104,0
37:1,144,51,127,0
38:1,128,60,64,0
38:1,128,51,64,0
